,comentario,sentimento
278," olha ia que blz! Quem dera, aqui no Brasil, houvessem mais iniciativas como essa!!!",neutro
279,"Cara, só em imaginar que já viajei em um desses. E hj está assim.",neutro
451, está tudo bem explicado na matéria. É só ler,neutro
453, manejo é última etapa e em comum aos órgãos públicos. Fora isso foi o que disse acima.,neutro
454,Esse eventos estão inclusos na tarifa que você paga pra viajar rs.,neutro
455,Na verdade a prefeitura deveria dividir o custo né,neutro
457,Interessante isso. Mas presumo que cada caso deva ser periciado e daí teremos uma informação bem embasada.,neutro
463,Seria perfeito,neutro
464,é bom lembrar de que lado temos que ficar!,neutro
470,Uma list de bloqueio seria ótimo.,neutro
484,Tá bom de trocar tudo pra Embraer também,neutro
491,"Tá bom, então.",neutro
492, Falou Tudo,neutro
493,Pelos comentários todos trabalham na Azul!,neutro
505, que bom que entendi errado.,neutro
534,"Amassa fácil os f15, 16 e 18.",neutro
600,Quase um tailstrike. Gosto muito daquela frase: se tudo der errado o avião pousa 😁😁😁,neutro
607, olha bem isso mesmo!,neutro
608,"Pais boca aberta, criei  os meus,já todos adultos hoje, muito, mas muito diferente!🙏 Hoje são pessoas da melhor  integridade🙏💓💓",neutro
609,Bem isso!!!,neutro
612,"Calado me deito, sem processo me levanto.",neutro
615, calado me deito. Sem processo me levanto 😂,neutro
628," só viajo de Azul se for de graça, por aí eles podem enfiar o cara aonde bem quiserem!!",neutro
629, mas foi pago (e bem) o upgrade,neutro
630," Isso mesmo que eu entendi. So estava quebrado pra ""baiana"" porque pro ""Pierre"" estava boazinha a cadeira haha Merecem o processo.",neutro
631,O que está dizendo ali na legenda? Vc leu?,neutro
641,Além de prender o dono do drone tinha que aplicar uma multa bem pesada,neutro
644,Perfeito foi preso!,neutro
645,Muito bem tem que ser preso mesmo,neutro
653,Tudo louco para chegar  em Balneário  Camburiu !!!!,neutro
654,Kkkkkkk bem isso!!,neutro
661,Ou lugar na aeronave eu gosto do corredor outros na janela .Vem a pessoa e toma seu lugar...É  bem assim te trocam de lugar. Uiiii,neutro
663,Ainda bem que foi em solo né 🤔🤔,neutro
671,Ainda bem que não foi dentro do avião 😂😂😂,neutro
672,Quem vencer senta na janela!!!,neutro
674,Bem catarinense brasileiro 😂😂,neutro
675,"Santa Catarina,  sendo Santa Catarina.  Bem europeus!",neutro
676, disse tudo,neutro
678," 82% na pesquisa de pontualidade, está entre as 10 companhias do mundo que mais cumpriram com a pontualidade dos seus voos.",neutro
681,Um drone desse com uma sexta de salvar pessoas em uma enchente ou num incêndio ajudaria muito,neutro
683,Daqui a pouco será tudo assim…,neutro
685," o drone é chinês e a regulação é igual na China, EUA e Europa",neutro
687, absolutamente tudo,neutro
688,Poderia ser usado na transamazônica,neutro
701, Seria Muito Legal Ter As Telas Touchscreen Individuais Nos Assentos Para Os Passageiros Nos Jatos Da Família Airbus A320!!!!!!!!,neutro
705,"Voei com eles pra Orlando via Bogotá no ano passado e, no geral, achei a experiência boa sim. A aeronave era nova, tudo bem conservado, o aeroporto de Bogotá é bem bonito e moderno, e o atendimento a bordo foi ok, serviram refeições durante o voo e atendeu tranquilo. A única coisa é que a poltrona da tarifa que eu peguei não reclinava, então esse foi o ponto mais chato, mas dá pra escolher uma tarifa com assento mais confortável e com reclinação se isso for prioridade. Pelo que paguei, achei um bom custo-benefício e uma opção interessante pra quem quer economizar.",neutro
706, vierem passageiros normais como vem todos os dias.,neutro
707," e apôi, mas agora tá tranquilo, conseguimos uma alternativa e ainda vamos passar uma semana em Bangcoc num hotel massa😂😂😂😂😂😂😂",neutro
709," muito obrigada pela gentileza, de me tirar dúvida... Eu entendi sobre a guerra, só não tinha entendido o porquê da lotação do avião.. mas agora já ficou bem claro muito obrigada",neutro
717,Eu vi na hora que ele passou.,neutro
718,  a muito tempo mas governo de Goiás   nunca se manifestou interesse em ampliar o aeroporto de Goiânia  e nem a prefeitura de Goiânia ,neutro
719," mas o aeroporto podia trazer uns aviões grandes diariamente pra cá, tipo A 350 ou outros",neutro
720, kkkk tranquilo irmão,neutro
722,O avião estava na preferencial,neutro
723, farol de avião é muito forte,neutro
724,Parece bem mais que os 39km/h reportados.,neutro
725,"Olá tudo bem? Então, se a torre autorizou cruzar a pista você confia na autorização, é padrão em aeroportos",neutro
6,"Eu li apenas reforcei! Como vc citou, há casos e casos.. de fato a companhia aérea tem sim de dar o suporte mas os processos são por atrasos devido a segurança do voo, aí complica",neutro
13,"Vai botar asas nos busão velhos, kkkk",neutro
14,Vamu imprega os cumpanhero! 😂,neutro
15,Sei sim 😂😂,neutro
19,Duvido,neutro
20,Nossa o cara esta na sua Propiedade e o Drone é  dele!! Qual o Problema? Se acabou a liberdade? E o direito a propriedade?,neutro
21, que aponta uma regra criada nos EUA e copiada pela ANAC 😮‍💨,neutro
22," Nossa, kkkk. Vai atrás do padre do balão... 😂😂",neutro
23,A Walmart está usando drone para fazer entregas em Orlando. Deixa o garoto se divertir.,neutro
24,"Isso abre caminhos pra oportunidade de inovação e transportar pessoas que precisam de ajuda ou resgate, enquanto isso sindicatos reprimem, Brasil invés de ir pra frente só vai pra trás, não pode dar nem um voo pequeno com habilidade, mas as pessoas podem andar de carro de boa se tiver comprado o carro",neutro
25,"Brasileiro tem que ser estudado mesmo, nem a NASA explica",neutro
26,Já vou comprar pra mim também,neutro
27,"Precisa só uma proteção, para não oferecer riscos ao piloto, vai voar em paz.",neutro
28, Desse jeito mesmo 😂😂😂 Duvido que se algumas pessoas tivessem a oportunidade não tentariam fazer o mesmo 😂😂😂😂,neutro
29, É sempre assim!!!,neutro
30,Eu tiraria o tanque e colocaria um acento no lugar para ficar mais fácil dá para levar até umas duas pessoas aí brincando,neutro
31,Tem dita regra é quem tá no mato quem precisa vai quem manda é os garotos pede para o Alexandre de Moraes dá 24 horas para o cara explicar isso aí kkkkk,neutro
32,Quem denunciou deve estar com problema em casa com o Marido.,neutro
33,Menino e um gênio 😂,neutro
34,Qual o link pra comprar esse Drone?,neutro
35,Eu tinha certeza que daria merd@...,neutro
36,IFOOD 🔥,neutro
37, e agora? Se a moda pega kk,neutro
38,Esse já fez seu carro voador!,neutro
39,"Kkkkkkk o cara faz isso no PRÓPRIO drone em terreno PARTICULAR, colocando em risco apenas a própria vida. Mesmo que seja uma atitude arriscada e irresponsável, que por si só já percebemos que é perigoso, não faz sentido essa denuncia e repúdio indevido, me parecem de caráter punitivo. O pior, a menos que a União tenha controle do espaço aéreo a 5 metros do chão, essa denuncia não tem pé e nem cabeça.",neutro
40,Bla bla bla ...a alguns todo rigor a outros toda benevolência da lei ...,neutro
41,Os Jetsons tinham razão...,neutro
42,Mas o rapaz teve uma ideia que pode revolucionar o uso dos drones.,neutro
43,E ele vai junto com o veneno usado nas lavouras 😂😂😂,neutro
44," cara, isso pode incentivar outras pessoas a fazerem a mesma coisa...",neutro
45," livre arbítrio.  Eu vou comprar um.  Quero ver se funciona mesmo.  Eu tenho helicópteros, mas quero ver se isso funciona.  As regras ???? Eu mesmo crio as minhas baseadas em minha experiências na aviação.  Mudar assento com barras de alumínio T6 na parte inferior , deixando as hélices acima do piloto, instalar para quedas balístico p caso de emergência, o fixar painel.  Bora voar.",neutro
46,É hora de patentear essa sua invenção rapaz inteligente 👏👏👏,neutro
47,Tu acredita mesmo nisso? 😂,neutro
48,"Deixa o rapaz em paz.
Só ele sabe a necessidade , se eu tivesse também eu ia pra todo canto.",neutro
49,"Como estão as cobranças no Banco Master , INSS e Correios? Com as mesmas forças e textão gigante ? Obs. PS. Só uma dúvida!!!!",neutro
50,Eu vou comprar um tirar o tanque adaptar uma cadeira,neutro
51,Já quero um !!!!,neutro
52,China !?? Cadê os de transporte humanos ??,neutro
53,Já quero 1,neutro
54,"  eeeeh,  Uereé quer voar",neutro
55,"Dedé, quase um, aquele foi no 14 BIS esse fez  BIS no drone😂😂😂",neutro
56,Mesmo prq qm opera  drone é  outro drone,neutro
57, vi *,neutro
58,Enquanto não aprenderem a parar de postar na internet...,neutro
59,Uma pergunta! Nós temos livre arbítrio mesmo?,neutro
60,E o ET de Varginha?,neutro
61,"Cheio de teco teco por aí voando altíssimo, mas a anac está preocupada com o João a 3m do solo",neutro
62,"Já estou procurando um pra comprar, quero nem saber kkkk",neutro
63, isso,neutro
64,"Querem ganhar dinheiro dd qq jeito, , deveria e se preocupar com outros caso",neutro
65,Concordo vom vc,neutro
66,Resumindo: é só não filmar e continuar fazendo!,neutro
67, adaptou? É um drone agrícola!,neutro
68,Fala que é IA 😂😂😂😂,neutro
69,O Fux e o Nikolas...,neutro
70,A meu ovo,neutro
71,Bla bla bla bla bla,neutro
72, LEIA PARA-QUEDAS,neutro
73,Anac ta com tempo!,neutro
74,Tem coragem de mamar em onça,neutro
75,Os carros voadores chegaram,neutro
76,"A reunião foi em um hotel em Curitiba , bairro batel",neutro
77," vai nos avisando, Coach",neutro
78,Veio de Sydney direto?,neutro
79,Quantas😂,neutro
80,"Agora são 2 A380 em GRU, cabem ?",neutro
81,a quantas volta aqui só com A350-1000 parece,neutro
82,E os drones,neutro
83,Vai fazer a linha São Paulo/Sydney,neutro
84,Trouxe equipamentos para o Show do AC/DC em São Paulo,neutro
85,Ja imaginaram semanalmente em Guarulhos 😍,neutro
86,O AC/DC tá nele,neutro
87,Me fala uma coisa como faço pra chegar aí nesse ponto pra ter uma vista espetacular assim,neutro
88,E eu achando que ela já estava se preparando para devolver os 319,neutro
89," acho que conforme chegue os novos A320-21, ela vá utilizar para rotas de mais curta distância.",neutro
90, azul tem nos Airbus e também nos Embraer.,neutro
91,Falta só reclinar os bancos 😂,neutro
92,O cara ali com os braços cheios de dinheiro. Dá de comprar uma bala juquinha 😐,neutro
93, aqui fariam o mesmo🙄,neutro
94,Latinidade,neutro
95,Caiu lá ou aqui no Brasil???,neutro
96, sim estão,neutro
97,Ficaram 3 A380 mas já voaram,neutro
98,São só os aviões que estão aqui.,neutro
99,Assim mesmo...🤭,neutro
100, se eu to falando é pq eu sei né,neutro
101,Estão Falando em 30K Por Dia Só pra Ficar Estacionados em Guarulhos São 2 A380,neutro
102,  isso é  estratégia,neutro
103, aquele ali é 777-200 e nao 777-300,neutro
104,O a380 está lá no final,neutro
105,Os alvos estão chegando...,neutro
106, vai EUA,neutro
107,Mais a Emirates que voltou tbmm,neutro
108, todas as capitais?,neutro
109, viracopos em campinas também tem suporte para esses aviões.  Sempre que barco por lá tem alguns aviões enormes de outro país.,neutro
110,"O cara tá explicando no vídeo o motivo ,e o povo quer saber mais do q eles,a maioria q tá comentando nem mora em Guarulhos p saber como tá o aeroporto por conta dessa guerra",neutro
111, refugiados aéreos?!?!? 😂😂😂,neutro
112,Guarulhos todo mundo passa por aqui 🔥,neutro
113,Ou melhor todo O MUNDO passa aqui,neutro
114,"Sim, até a abertura dos aeroportos de Dubai e Doha.",neutro
115,E no aeroporto??😮,neutro
116," Todo o espaço aéreo do Oriente Médio está fechado, e o Catar tem bases americanas",neutro
117," Guarulhos, Galeão, Brasília, Confins, Curitiba, Viracopos",neutro
118,3 A350 e 1 777-300,neutro
119,"Imagine como está Heathrow, CDG, JFK",neutro
120, aqui em SBPV por exemplo sem chance amigo,neutro
121,* foram vistos,neutro
122,Que venha em Curitiba hospedar  ,neutro
123,Ainda irei voar em um desses,neutro
124, os dois estão lá,neutro
125,Temos aeroportos em vários estados que recebem esse tipo de aeronave,neutro
126,Espero que todos venham pra cá em morem em Balneário Camboriú,neutro
127,Que fiquem mais tempo por aqui gastando seus dinheiro s,neutro
128,tem rio campinas e brasilia,neutro
129, tem dois a380.!!,neutro
130,Haja pátio.,neutro
131," O daqui (Fortaleza) era para receber, pois a pista é enorme, fora que é uma ""reta"" p Europa.",neutro
132," Brasil, Coração do Mundo ""Chico Xavier""",neutro
133,Esses aviões saíram todos de GRU?,neutro
134,Tem 4 em Campinas,neutro
135,Manda pra confins ,neutro
136, a350 1000 and  777 200,neutro
137, campinas tbm pode ajudar,neutro
138," são aviões que fazem viagem diária, a diferença que estão todos ao mesmo tempo em solo. O A 380 passa todos os dias para desembarcar por volta das 17h. Aqui ver eles é o nosso normal diário",neutro
139, algo normal. A diferença que os dois estão em solo ao mesmo tempo. Um deles passa todos os dias às 17h,neutro
140," o de São Luís ja recebeu um A380 ano passado, eu acho que tem porte kkkk",neutro
141,E mais 2 A388 da Emirates,neutro
142, Sim é o único com essa capacidade!,neutro
143,Quero saber onde vão indicar tanto avião,neutro
144, é um A350,neutro
145,Provavelmente sim,neutro
146,Vieram 2 A380 👏👏🔥🔥,neutro
147,"Alguns bilhões da mesma ""firma"" nesse vídeo 😂😂😂😂",neutro
148,os dois vão,neutro
149,"Ao menos, seguros",neutro
150,"Obrigada pela informação.. eu entendi que tinha alguma coisa a ver com a guerra, só não porque é da lotação dos aviões... Obrigada por sanar minhas dúvidas.",neutro
151,"Tem dois A380 da Emirates também, aí em Guarulhos.",neutro
152,"Pelo visto vão permanecer um bom tempo, tem Viracopos e Galeão para armazenar uma parte dessa frota ...",neutro
153,Sim...as aeronaves ja retornaram ao Brasil!,neutro
154,Só tem esse aeroporto desse porte no Brasil? Pra ajudar?,neutro
155, é um A350-1000,neutro
156,Manda uns aqui pra Brasília,neutro
157,Amigo como faz pra chegar no Morrinho?,neutro
158,os 2 A380 Acredito Que Vão Ficar Parados em Guarulhos Por Alguns Dias,neutro
159,Sério?,neutro
160, Todas as capitais do Brasil podem receber estes aviões.,neutro
161,Alguém tem as matrículas?,neutro
162,E tem 2 a380 da Emirates lá hoje também,neutro
163,Inclusive esse one Word arremeteu,neutro
164,Ele arremeteu eu gravei,neutro
165,Aí é um A350 né?,neutro
166,Aeroporto de Dubai foi atacado,neutro
167,Não entendi o sentindo? Alguém me explica por favor,neutro
168," sim, a350-1000",neutro
169, posta aí mano por favor,neutro
170,Mais os dois A380 da Emirates.,neutro
171,Vcs precisam rever os preços dos voos nacionais,neutro
172,Prioridade total no oferecimento da 🍊 nessas rotas.,neutro
173,Hj tem live do piruLITO 😢,neutro
174, eu não expressei corretamente. Digo os motoristas dos caminhões 😢,neutro
175,Os motoristas dos caminhões.,neutro
176,"E tem brasileiro que elogia o atual governo dos EUA. Parece ser o ""bicho da goiaba"" do planeta. É trapalhada e caos pra todo lado. Inclusive com a guerra contra o Irã.🤷",neutro
177, era só o avião dar umas piscadas de luz alta😁,neutro
178,O bombeiro: temos prioridade no trânsito!!,neutro
179, ele tinha sido liberado a cruzar a pista pela torre de controle,neutro
180,O caminhão foi atropelado por um avião 😢,neutro
181,"Sei lá independente de autorização, deveria ter um pare obrigatório.",neutro
182, tu leu o texto antes de comentar? Aparentemente erro da Torre de Comando.,neutro
183,É goianiense? N respeita a preferencia,neutro
184, nesse vídeo da pra ouvir ele autorizando a cruzar a pista,neutro
185, nem isso. Parece uma velocidade alta ainda em desaceleração.,neutro
186,Trump diminuiu o número de funcionários,neutro
187, so havia um controlador pro espaco aereo e operacoes em terra. Tem falhas em varios quesitos. A culpa nao é exclusiva do controlador. Da uma pesquisada aj sobre,neutro
